id,customer_id,calculation_type,origin,destination,weight_in_tonnes,specific_method,created_at,updated_at,co2_in_g,file_name
592,CVO-26298,truck,"New York, United States","Maspeth, United States",0.01112,"",2021-09-07 16:12:07 UTC,2021-09-07 16:12:07 UTC,8,Convelio202109071809220200
643,CVO-33638,truck,"Paris, France","Châteauroux, France",0.001,"",2021-09-07 16:12:59 UTC,2021-09-07 16:12:59 UTC,18,Convelio202109071809220200
593,CVO-30911,truck,"New York, United States","Palm Beach, United States",0.01112,"",2021-09-07 16:12:08 UTC,2021-09-07 16:12:08 UTC,1449,Convelio202109071809220200
594,CVO-35713,truck,"Washington, United States","New York, United States",0.01112,"",2021-09-07 16:12:09 UTC,2021-09-07 16:12:09 UTC,3283,Convelio202109071809220200
595,CVO-38138,truck,"New York, United States","New York, United States",0.01112,"",2021-09-07 16:12:10 UTC,2021-09-07 16:12:10 UTC,0,Convelio202109071809220200
596,CVO-35556,truck,"National City, United States","Pound Ridge, United States",0.01112,"",2021-09-07 16:12:11 UTC,2021-09-07 16:12:11 UTC,3452,Convelio202109071809220200
597,CVO-37853,truck,"New York, United States","Jersey City, United States",0.01112,"",2021-09-07 16:12:12 UTC,2021-09-07 16:12:12 UTC,3,Convelio202109071809220200
598,CVO-34519,truck,"New York, United States","Greenwich, United States",0.01112,"",2021-09-07 16:12:13 UTC,2021-09-07 16:12:13 UTC,41,Convelio202109071809220200
599,CVO-35555,truck,"New York, United States","Fairfield, United States",0.01112,"",2021-09-07 16:12:14 UTC,2021-09-07 16:12:14 UTC,69,Convelio202109071809220200
600,CVO-35554,truck,"New York, United States","Fairfield, United States",0.01112,"",2021-09-07 16:12:15 UTC,2021-09-07 16:12:15 UTC,69,Convelio202109071809220200
601,CVO-36900,truck,"New York, United States","Brooklyn, United States",0.01112,"",2021-09-07 16:12:16 UTC,2021-09-07 16:12:16 UTC,5,Convelio202109071809220200
602,CVO-8882,truck,"Paris, France","Brussel, Belgium",0.01112,"",2021-09-07 16:12:17 UTC,2021-09-07 16:12:17 UTC,231,Convelio202109071809220200
603,CVO-18379,truck,"Gennevilliers, France","Bruxelles, Belgium",0.01112,"",2021-09-07 16:12:18 UTC,2021-09-07 16:12:18 UTC,228,Convelio202109071809220200
604,CVO-32721,truck,"Paris, France","Amsterdam, Netherlands",0.01112,"",2021-09-07 16:12:20 UTC,2021-09-07 16:12:20 UTC,377,Convelio202109071809220200
605,CVO-29687,truck,"Gennevilliers, France","Sant Boi de Llobregat, Spain",0.01112,"",2021-09-07 16:12:21 UTC,2021-09-07 16:12:21 UTC,739,Convelio202109071809220200
